Product Name,Price,Category,ImageURL,PageURL
7 days kroasan kakao 6x40 g,"3,22 €",Kroasani i kolači,https://imageproxy.wolt.com/assets/667942b18cf5dc22349d47bb,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
7 days kroasan mini s kakaom 60 g,"1,29 €",Kroasani i kolači,https://imageproxy.wolt.com/assets/6679421e7a690b684afa06de,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
7 days kroasan mini s kakaom i vanilijom 60 g,"1,29 €",Kroasani i kolači,https://imageproxy.wolt.com/assets/667942adcd8400238820806b,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
Balconi Kolač Rolada Rollinomilk 222 g,"2,62 €",Kroasani i kolači,https://imageproxy.wolt.com/assets/6679426daafb6a54ed7eb9b3,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
Vjenčići s voćnim namazom marelica 300 g,"3,22 €",Kroasani i kolači,https://imageproxy.wolt.com/assets/667938491e3f1c4c3a00de27,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
Kiflice oranž 225 g,"3,22 €",Kroasani i kolači,https://imageproxy.wolt.com/assets/667938bf1e3f1c4c3a00e96a,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
Bon gusto kroasan kakao vanilija 50g,"0,46 €",Kroasani i kolači,https://imageproxy.wolt.com/assets/6679425d5bc89c3fb6bf02bb,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
7 days croissant super max kakao 110 g,"1,49 €",Kroasani i kolači,https://imageproxy.wolt.com/assets/6679427e11daf54b0d99713a,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
Chipita croissant 7 days midi double kakao i vanilija 60 g,"1,05 €",Kroasani i kolači,https://imageproxy.wolt.com/assets/667942439593fd336634abd1,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
Chipita 7days croissant lješnjak keks 60 g,"1,05 €",Kroasani i kolači,https://imageproxy.wolt.com/assets/667942b28cf5dc22349d47c4,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
Chipita croissant 7days midi kakao 60 g,"1,05 €",Kroasani i kolači,https://imageproxy.wolt.com/assets/6679426caafb6a54ed7eb990,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
Ekos cakes slatki vjenčić 500g,"3,29 €",Kroasani i kolači,https://imageproxy.wolt.com/assets/667941458cf5dc22349d2a46,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
7 days kroasan s kakaom 185 g,"3,15 €",Kroasani i kolači,https://imageproxy.wolt.com/assets/6679427e11daf54b0d997138,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
Bon Gusto pita od višanja 420g,"5,05 €",Kroasani i kolači,https://imageproxy.wolt.com/menu/menu-images/62fba71492cb3b622188d30b/00b04eca-bebd-11ef-9ef8-8a26f933c6db_frame_12960__17_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
Bon Gusto mađarica 420g,"5,05 €",Kroasani i kolači,https://imageproxy.wolt.com/menu/menu-images/62fba71492cb3b622188d30b/29beeb0a-bebd-11ef-940b-42af96986257_frame_12960__18_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
Bon Gusto čupavci 480g,"5,99 €",Kroasani i kolači,https://imageproxy.wolt.com/menu/menu-images/62fba71492cb3b622188d30b/e85eabe0-bebd-11ef-9fbe-0af16988a1e9_frame_12960__19_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
Bon Gusto pita od jabuka 420g,"4,62 €",Kroasani i kolači,https://imageproxy.wolt.com/menu/menu-images/62fba71492cb3b622188d30b/241fe90a-bebe-11ef-accd-2a97324d61b2_frame_12960__20_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/kroasani-i-kolaci-6
Panero krušne mrvice 500 g,"1,32 €",Mlinci i krušne mrvice,https://imageproxy.wolt.com/assets/66794124ad16d3049c1c28e7,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/mlinci-i-krusne-mrvice-7
Klara mlinci s jajima 250 g,"2,02 €",Mlinci i krušne mrvice,https://imageproxy.wolt.com/assets/6679410f1e3f1c4c3a01a8f6,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/mlinci-i-krusne-mrvice-7
Klara krušne mrvice 500 g,"1,37 €",Mlinci i krušne mrvice,https://imageproxy.wolt.com/assets/66794b631cbcb867409592d2,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/mlinci-i-krusne-mrvice-7
Klara krušne mrvice 250 g,"1,37 €",Mlinci i krušne mrvice,https://imageproxy.wolt.com/assets/6679410aaafb6a54ed7e9d0f,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/mlinci-i-krusne-mrvice-7
"Vindija 'z bregov ledena kava 0,2 l","1,49 €",Food & Coffee 2 go,https://imageproxy.wolt.com/assets/66794032bfc2441871a6e900,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/food-coffee-2-go-8
Dukat parmalat ledena kava cappuccino 200 ml,"2,12 €",Food & Coffee 2 go,https://imageproxy.wolt.com/assets/667946293cbd30437db43e6d,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/food-coffee-2-go-8
Landessa cappuccino napitak 230ml,"2,42 €",Food & Coffee 2 go,https://imageproxy.wolt.com/assets/6679413682f2c87030b873f4,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/food-coffee-2-go-8
Landessa ledena kava latte macchiato 230 ml,"2,42 €",Food & Coffee 2 go,https://imageproxy.wolt.com/assets/6679410e54b6864072b15380,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/food-coffee-2-go-8
Dukat parmalat ledena kava macchiato 200 ml,"2,12 €",Food & Coffee 2 go,https://imageproxy.wolt.com/assets/6679416a11daf54b0d995adf,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/food-coffee-2-go-8
Kruška Williams 1kg,"2,09 € / kg",Voće,https://imageproxy.wolt.com/menu/menu-images/60a9280525f5389c1d810a37/526d7d80-c08e-11ec-8f6d-8ab75c001547_frame_84__72_.jpeg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/voce-11
Avokado,"1,46 €",Voće,https://imageproxy.wolt.com/menu/menu-images/60a9280525f5389c1d810a37/1cb13aec-c0b6-11ec-913f-0a36cfbe9351_frame_84___2022_04_20t162803.895.jpeg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/voce-11
Jabuka 2 kg,"1,98 €",Voće,https://imageproxy.wolt.com/assets/66794011bfc2441871a6e5f2,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/voce-11
Kiwi 1 kg,"3,03 € / kg",Voće,https://imageproxy.wolt.com/assets/667942711ddf225f482b92c7,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/voce-11
Ananas kom,"2,09 € / kg",Voće,https://imageproxy.wolt.com/assets/6679403f1e3f1c4c3a0195c2,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/voce-11
Jabuka Idared 1kg,"1,49 € / kg",Voće,https://imageproxy.wolt.com/menu/menu-images/6087e390d608bc55ee97d813/9232b832-acd9-11eb-8943-4a23c18bcd57_b84158dc_5b0b_11eb_85f7_0e27e5169c09_wolt_vocarna_bananko_product_35__2_.jpeg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/voce-11
Kruška Abata 1kg,"2,49 € / kg",Voće,https://imageproxy.wolt.com/menu/menu-images/6087e390d608bc55ee97d813/871f9878-acdb-11eb-8936-7229e8f140bb_471d0d7e_9849_11eb_9f8c_ca1fd2b9d348_frame_37__37___1_.jpeg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/voce-11
Naranča 1kg,"1,79 € / kg",Voće,https://imageproxy.wolt.com/menu/menu-images/6087e390d608bc55ee97d813/613f0a0a-acd9-11eb-a44d-82bd0a14b49c_da991c36_a1b4_11eb_8f69_8e6511bee13a_0738e14c_9849_11eb_8fa9_9ab76a5d53c7_c2a61402_07e1_11eb_87fd_aabdac71aee5_frame_41_25.jpeg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/voce-11
Limun 1 kg,"0,85 € / kg",Voće,https://imageproxy.wolt.com/assets/66793f8f34063d58fe464342,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/voce-11
Jabuka Zlatni Delišes 1kg,"0,98 € / kg",Voće,https://imageproxy.wolt.com/menu/menu-images/6087e390d608bc55ee97d813/94b557a2-acdb-11eb-9439-5e18130a9bb7_51a107d8_9848_11eb_8e6d_beb45d9de1d3_frame_36__61___2_.jpeg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/voce-11
Bijelo grožđe 1 kg,"5,49 € / kg",Voće,https://imageproxy.wolt.com/assets/6679411d467c3d6a774c4de7,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/voce-11
Kruška Williams 1 kg,"2,09 € / kg",Voće,https://imageproxy.wolt.com/menu/menu-images/shared/88da9726-6e98-11ef-9bc9-a61e204d4a5e_frame_12961__7_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/voce-11
Jabuka Zlatni Delišeš 1 kg,"0,98 € / kg",Voće,https://imageproxy.wolt.com/menu/menu-images/shared/1b26b11a-6e98-11ef-ba02-2a5f95ef3683_frame_12961__5_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/voce-11
Jabuka Jonagold 1 kg,"1,67 € / kg",Voće,https://imageproxy.wolt.com/menu/menu-images/shared/28fb8186-6e9c-11ef-9131-b6a420f1109c_frame_12961__24_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/voce-11
Blitva 1kg,"3,14 € / kg",Povrće,https://imageproxy.wolt.com/menu/menu-images/62cc0084ba15484b658d76a0/72887958-36ae-11ed-8671-ca8341c79207_blitva.jpeg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
Peršin 100 g,"1,56 €",Povrće,https://imageproxy.wolt.com/assets/66794132aafb6a54ed7ea0b8,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
Celer Korijen 1kg,"1,77 € / kg",Povrće,https://imageproxy.wolt.com/menu/menu-images/6087e390d608bc55ee97d813/295f7e88-0965-11ec-bcff-526cb356c953_dc50cd22_9ddf_11eb_889a_76b718246495_40b66e26_857f_11eb_b834_8eacba2b231f_frame_4__23_.jpeg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
Vedameno kiselo zelje glava,"1,88 € / kg",Povrće,https://imageproxy.wolt.com/assets/6679403e35e1b1789b0511cc,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
Brokula 500g,"1,77 €",Povrće,https://imageproxy.wolt.com/menu/menu-images/60a9280525f5389c1d810a37/12457cfc-c076-11ec-b0d4-96a5c73e7036_frame_73__52_.jpeg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
Krumpir Bijeli 1kg,"0,99 € / kg",Povrće,https://imageproxy.wolt.com/menu/menu-images/62ea7bcd1b970e0235ee91f5/aac28ca8-7238-11ed-a1ea-6aac8b88e57c_2600000088039.jpeg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
Kupus 1kg,"0,93 € / kg",Povrće,https://imageproxy.wolt.com/menu/menu-images/6087e390d608bc55ee97d813/f5b29414-acd8-11eb-92d6-4a23c18bcd57_7edec850_9dea_11eb_8d15_f2a1656aec64_a73f7b44_857d_11eb_a643_fec72a1e6527_08d8dd0a_8ec1_11ea_bda6_0a58646e4415_lonia___frame_6__2_.jpeg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
Luk crveni rukavac 3/1,"1,35 €",Povrće,https://imageproxy.wolt.com/assets/6679412b467c3d6a774c4f3d,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
Luk ljubičasti rukavac 3/1,"1,35 €",Povrće,https://imageproxy.wolt.com/assets/6679414abfc2441871a702cf,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
Verdeamo grah šareni 500 g,"2,09 €",Povrće,https://imageproxy.wolt.com/assets/6679425e10e2ab46f35f2217,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
Kelj mladi 1kg,"2,09 € / kg",Povrće,https://imageproxy.wolt.com/menu/menu-images/62cc0084ba15484b658d76a0/f66b0dd4-4ae6-11ed-8223-eefcabb8a213_1cc41ef4_94de_11ec_b068_96b1b9ef7f31_kelj11__1_.jpeg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
Verdameo kiselo rezano zelje 500 g,"1,04 €",Povrće,https://imageproxy.wolt.com/assets/667940471e3f1c4c3a01968c,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
Češnjak cca. 250 g kom,"2,09 €",Povrće,https://imageproxy.wolt.com/assets/667942d754b6864072b178c2,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
Batat 1kg,"2,09 € / kg",Povrće,https://imageproxy.wolt.com/menu/menu-images/60a9280525f5389c1d810a37/a536b50a-c0b5-11ec-922c-0633768ed8cf_42bbc0e2_c087_11ec_8c95_92f488077125_frame_84__52_.jpeg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
Šampinjoni 500g,"1,99 €",Povrće,https://imageproxy.wolt.com/assets/667941271e3f1c4c3a01ab17,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
Krastavac 1kg,"2,69 € / kg",Povrće,https://imageproxy.wolt.com/menu/menu-images/6087e390d608bc55ee97d813/1c35a840-acdb-11eb-aebf-6628189c89cb_06ad8154_9deb_11eb_98e7_92ebf82bd280_463a8ee2_07e7_11eb_af0e_c24321b3f51d_frame_44_10__2_.jpeg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
Cvjetača 1kg,"2,72 € / kg",Povrće,https://imageproxy.wolt.com/menu/menu-images/63525058d3b247e5d1344e29/3caf8778-09fc-11ee-a990-d20f58308364_frame_127__23_.jpg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
Salata Kristal Komad,"0,99 €",Povrće,https://imageproxy.wolt.com/menu/menu-images/6087e390d608bc55ee97d813/b90464ba-acd9-11eb-bfa1-ca660ea23be7_01a74010_5b0f_11eb_96e6_06e855b8a245_wolt_vocarna_bananko_product_72__2_.jpeg,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
Povrće za juhu 500 g,"0,88 €",Povrće,https://imageproxy.wolt.com/assets/667942c08353ae60784d777a,https://wolt.com/hr/hrv/split/venue/studenac-kralja-zvonimira-t300/items/povrce-12
